session_id,customer_id,pages_viewed,time_on_site,device_type,traffic_source,session_date,converted,bounce,cart_additions,checkout_started,exit_page,browser,is_logged_in
135,1595,3,107.9004584432294,mobile,email,2021-05-02,0,0,2,1,cart,Chrome,0
136,9253,8,355.6952496082108,mobile,direct,2022-01-01,0,0,2,0,product,Chrome,0
137,4723,2,319.2650388390341,mobile,email,2023-05-31,0,0,1,0,homepage,Chrome,1
138,6309,4,220.50396318877415,desktop,email,2020-04-08,0,0,0,0,cart,Edge,1
139,7776,9,317.51280835593866,mobile,direct,2024-08-06,0,0,1,0,checkout,Chrome,1
140,291,8,180.7281738372805,tablet,paid,2022-03-14,0,1,1,1,homepage,Firefox,1
141,3693,2,111.84937738624367,mobile,direct,2020-06-06,0,0,1,1,checkout,Edge,1
142,4349,4,340.7444497454723,tablet,email,2022-07-17,0,0,2,1,cart,Chrome,0
143,351,6,252.24923870310917,tablet,email,2019-05-18,0,0,1,0,homepage,Safari,0
144,4122,5,273.98546185255685,mobile,paid,2023-09-14,0,0,2,0,homepage,Chrome,0
145,7335,6,445.60549591189306,desktop,email,2021-10-28,0,0,0,0,product,Edge,0
146,7572,4,453.9256749804263,tablet,social,2022-06-25,0,0,0,0,cart,Chrome,0
147,7776,3,241.0142269505729,desktop,email,2023-11-08,0,0,1,0,homepage,Safari,0
148,9219,9,123.65457780972682,mobile,social,2019-02-15,1,0,1,0,product,Chrome,1
149,2706,9,289.50363923663446,tablet,organic,2022-12-03,0,0,4,0,cart,Firefox,1
150,9533,9,131.70762907209294,mobile,social,2020-06-21,0,1,0,0,checkout,Chrome,1
151,2752,5,147.12356389774237,desktop,direct,2019-05-14,0,0,0,0,checkout,Chrome,1
152,504,7,173.6656702428721,desktop,social,2019-09-17,0,0,3,0,product,Chrome,0
153,6503,1,119.12544680418864,mobile,email,2021-06-04,0,1,0,0,homepage,Chrome,1
154,1564,2,423.8752272890337,mobile,direct,2022-02-17,0,0,4,0,checkout,Safari,1
155,520,5,228.0892613305025,desktop,organic,2022-08-20,0,1,0,0,checkout,Chrome,1
156,667,5,115.87444521200348,desktop,social,2023-03-27,0,0,0,0,homepage,Firefox,1
157,4575,2,142.16176756255197,mobile,direct,2020-05-02,0,1,2,1,homepage,Firefox,1
158,6880,3,209.8099103322492,desktop,email,2022-08-05,0,0,1,1,cart,Safari,0
159,5117,8,419.7529845971505,desktop,direct,2021-05-12,0,0,0,0,homepage,Chrome,1
160,5516,4,143.5009880203661,desktop,email,2021-07-13,0,0,0,0,homepage,Firefox,0
161,6534,2,273.0711436366612,desktop,social,2020-08-09,0,0,0,0,product,Chrome,0
162,7205,8,295.8748478984461,desktop,direct,2021-10-06,0,0,5,0,product,Chrome,0
163,5267,6,233.1684863524105,tablet,paid,2024-03-18,0,0,2,1,checkout,Chrome,1
164,9296,8,320.4492348406187,tablet,direct,2024-02-11,0,0,1,1,cart,Chrome,0
165,5502,4,233.5469294268691,tablet,email,2019-07-07,0,0,3,0,product,Chrome,0
166,6157,8,307.58289918660086,mobile,social,2021-06-29,0,0,1,1,cart,Firefox,1
167,1741,1,325.36972980961053,mobile,organic,2021-03-20,0,1,2,1,product,Chrome,1
168,9077,7,191.25947629611983,desktop,social,2019-01-13,0,0,0,0,checkout,Chrome,0
169,603,5,435.5312256733816,tablet,social,2023-07-04,0,1,1,1,homepage,Chrome,1
170,2477,3,290.945241664872,desktop,email,2020-10-01,0,1,3,0,homepage,Firefox,1
171,4074,9,308.2145451153892,tablet,organic,2022-08-03,1,1,1,0,cart,Chrome,0
172,8893,6,377.5416202930182,mobile,organic,2022-09-09,0,1,0,0,cart,Chrome,1
173,4159,7,210.39113023086296,desktop,social,2020-04-17,0,0,0,0,cart,Chrome,1
174,3037,2,343.40994130884746,mobile,organic,2019-06-22,0,0,2,1,cart,Chrome,0
175,3668,4,277.11642546781314,desktop,paid,2020-09-25,0,0,3,1,cart,Chrome,1
176,7425,6,172.6271734209928,desktop,social,2020-04-17,0,0,1,1,cart,Chrome,1
177,4591,5,284.284562045193,mobile,social,2024-03-16,1,0,0,0,checkout,Chrome,0
178,3786,4,186.6397192061088,desktop,paid,2024-06-15,0,0,1,1,homepage,Chrome,1
179,7001,4,349.94535497307487,mobile,direct,2024-06-20,0,0,1,1,checkout,Chrome,1
180,1900,3,253.3512726794305,tablet,direct,2024-06-09,0,0,2,1,product,Chrome,0
181,41,4,277.8213311562443,mobile,paid,2021-03-17,0,1,1,1,cart,Chrome,0
182,7938,7,415.978063654285,mobile,direct,2023-09-13,1,0,1,1,product,Safari,1
183,2180,3,223.00069729696145,tablet,direct,2019-04-15,0,0,4,1,checkout,Chrome,1
184,9589,8,346.09818373548325,tablet,email,2023-03-19,0,0,1,1,cart,Firefox,0
185,4646,4,288.73709516232435,tablet,paid,2021-11-29,0,0,2,1,product,Firefox,1
186,6814,3,238.62886305985103,mobile,social,2023-09-11,0,1,2,1,homepage,Chrome,1
187,1955,2,470.2565100807494,tablet,direct,2023-06-07,0,0,1,1,checkout,Firefox,1
188,5827,2,417.7166959773416,desktop,paid,2021-01-01,0,0,4,0,product,Chrome,1
189,9512,4,418.3021855749592,desktop,social,2022-01-13,0,1,1,1,cart,Chrome,1
190,1832,8,227.90203923243757,tablet,direct,2024-10-30,1,0,1,1,product,Firefox,0
191,2823,2,421.7933417240784,desktop,paid,2019-07-07,0,0,1,0,checkout,Edge,0
192,492,8,367.74697186520086,tablet,organic,2022-02-19,0,0,4,0,homepage,Safari,1
193,4705,2,322.6015301754758,desktop,email,2021-11-26,0,0,1,0,product,Chrome,0
194,5430,5,242.9857052391888,desktop,social,2023-03-18,0,0,1,0,checkout,Safari,1
195,5495,1,428.0238705169907,desktop,email,2021-12-26,0,1,1,0,cart,Firefox,1
196,518,3,282.8540432654434,desktop,social,2021-12-10,0,0,1,0,cart,Firefox,1
197,6609,6,150.88879746128546,tablet,paid,2021-08-13,0,0,1,1,product,Chrome,0
198,2324,7,348.1092848891392,mobile,paid,2020-05-23,0,0,1,1,cart,Firefox,1
199,6439,3,197.72020662790172,mobile,email,2020-05-14,0,0,3,1,homepage,Edge,1
200,1307,5,329.81439155433173,tablet,email,2023-04-02,0,0,3,1,homepage,Firefox,1
201,5209,5,342.7751622157048,desktop,direct,2023-08-19,0,0,2,1,product,Chrome,1
202,5443,5,299.4795056187196,desktop,social,2024-06-07,0,0,1,1,checkout,Chrome,1
203,243,4,298.5590116035792,desktop,direct,2020-05-20,0,0,1,1,checkout,Chrome,0
204,4017,5,334.7823845852206,mobile,organic,2022-04-05,0,0,2,0,homepage,Edge,0
205,133,7,285.1596514100755,tablet,paid,2020-12-12,0,1,1,0,checkout,Edge,1
206,804,4,373.9266814357411,desktop,email,2022-11-03,0,0,1,0,homepage,Chrome,0
207,2265,4,363.5623868898445,mobile,paid,2020-10-03,0,0,3,0,cart,Chrome,0
208,9209,3,429.6407769544616,desktop,organic,2023-06-25,0,0,1,1,product,Chrome,0
209,532,5,317.60477515309486,tablet,organic,2021-04-16,0,0,2,1,checkout,Edge,1
210,5850,3,334.61428770810943,tablet,email,2020-05-13,0,0,0,0,homepage,Safari,1
211,472,5,441.571605815828,desktop,organic,2024-11-06,0,0,2,1,checkout,Chrome,0
212,5420,1,212.2699074590961,desktop,direct,2023-03-27,0,1,3,1,homepage,Chrome,0
213,5582,4,259.05683853686594,tablet,social,2024-05-19,0,0,2,1,cart,Firefox,1
214,4721,6,348.3278696323818,desktop,email,2019-10-05,0,0,1,0,checkout,Chrome,0
215,4659,11,326.37314640922403,tablet,organic,2020-11-21,0,0,1,0,cart,Chrome,1
216,1721,6,393.57489823000674,tablet,email,2020-10-10,1,0,3,1,homepage,Chrome,1
217,3994,10,321.1434599026077,tablet,direct,2024-08-17,0,0,0,0,cart,Chrome,1
218,9131,4,143.37886732080725,tablet,email,2019-04-12,0,0,2,1,homepage,Safari,1
219,3618,3,261.49254781112336,mobile,email,2022-06-25,0,0,2,1,checkout,Chrome,1
220,8980,4,151.33063650953343,tablet,social,2019-09-06,0,0,0,0,homepage,Safari,1
221,8208,6,271.78390852851646,desktop,paid,2019-07-26,0,0,1,0,homepage,Firefox,0
222,8224,2,212.34299866673285,mobile,email,2020-11-12,0,0,1,1,checkout,Chrome,1
223,8108,1,228.9262684710904,tablet,social,2020-10-07,0,1,1,1,product,Chrome,1
224,880,5,279.5939143468317,desktop,email,2019-09-29,0,0,2,1,cart,Firefox,1
225,734,4,300.3080953889074,mobile,email,2023-03-18,0,0,0,0,checkout,Safari,0
226,6784,2,496.1830281084996,desktop,email,2024-04-20,0,0,1,1,cart,Chrome,1
227,7582,5,237.3420165463935,desktop,social,2023-07-30,0,0,1,1,cart,Chrome,0
228,8652,3,431.2673517144706,desktop,direct,2023-05-25,0,0,1,1,cart,Chrome,1
229,1759,3,246.8071792169324,mobile,organic,2023-06-01,0,0,2,1,cart,Chrome,0
230,99,6,270.13280164137245,mobile,email,2020-12-07,0,0,2,0,cart,Chrome,1
231,5667,3,472.4503013325896,mobile,email,2022-09-07,1,0,1,0,product,Chrome,0
232,9401,3,419.3257719264698,tablet,direct,2023-09-10,0,0,1,1,cart,Firefox,1
233,4327,5,568.0240950520275,mobile,organic,2019-01-26,0,0,0,0,product,Chrome,1
234,3499,6,443.7372163356976,desktop,paid,2021-08-14,0,0,1,1,cart,Chrome,0
235,6943,8,395.3361000945994,desktop,paid,2022-12-07,0,0,1,0,product,Chrome,0
236,5106,9,436.5712340824882,mobile,email,2019-10-02,0,0,1,0,homepage,Safari,1
237,9757,5,295.831262820943,desktop,social,2020-12-25,0,0,2,0,homepage,Chrome,1
238,7670,4,316.37473494646963,mobile,email,2024-01-19,0,0,3,1,checkout,Chrome,1
239,2328,3,287.1170639118066,tablet,social,2024-06-16,1,1,1,1,cart,Edge,0
240,8147,6,392.4715380459271,tablet,paid,2020-06-03,0,0,0,0,checkout,Firefox,1
241,2953,4,321.04344698038113,mobile,email,2024-08-22,1,0,1,0,product,Chrome,1
242,5899,8,277.7845490248069,desktop,social,2023-01-11,0,0,2,0,cart,Chrome,1
243,273,2,84.82700081706773,tablet,paid,2019-09-30,0,0,0,0,cart,Firefox,1
244,4867,5,278.15065009828845,desktop,organic,2022-06-13,0,0,2,1,cart,Safari,1
245,4863,2,520.0902475672091,tablet,direct,2023-12-31,0,0,1,1,product,Chrome,1
246,4571,5,213.6710770713464,tablet,paid,2023-05-20,0,0,0,0,homepage,Chrome,1
247,329,3,311.40069191258925,mobile,social,2022-11-22,0,0,0,0,checkout,Chrome,0
248,4145,2,216.92248596339,mobile,social,2021-09-05,0,0,1,0,checkout,Firefox,1
249,8788,3,450.9378156076966,tablet,email,2021-07-11,0,0,3,1,product,Edge,0
250,6776,2,298.9133987619046,mobile,email,2022-10-19,0,0,0,0,homepage,Chrome,1
251,6395,10,420.1532912751462,desktop,direct,2024-09-17,0,0,1,0,product,Chrome,1
252,9724,4,486.7869406285941,mobile,direct,2024-10-23,1,0,1,1,cart,Firefox,0
253,6263,8,177.6728017291667,mobile,paid,2024-07-23,0,1,0,0,cart,Chrome,1
254,652,2,478.3260966995207,mobile,direct,2020-05-07,0,0,2,0,product,Chrome,1
255,1178,7,338.2165177978096,tablet,direct,2023-08-05,0,0,2,0,product,Chrome,1
256,9796,4,272.78137996669096,mobile,paid,2022-08-16,0,0,1,1,homepage,Safari,1
257,5636,5,363.281960336088,tablet,organic,2020-04-19,0,0,1,1,product,Edge,1
258,9616,4,64.4494639014091,mobile,social,2019-10-25,0,0,0,0,checkout,Chrome,1
259,5458,5,514.6771173754563,mobile,organic,2022-05-28,0,1,0,0,homepage,Chrome,1
260,1495,5,338.04997626818096,mobile,paid,2023-03-27,1,0,0,0,checkout,Edge,0
261,1397,7,273.28908191952735,mobile,direct,2020-12-15,0,0,0,0,cart,Safari,1
262,7521,8,354.23459454263383,mobile,direct,2021-09-21,0,1,0,0,cart,Chrome,1
263,1178,11,310.5046451952005,desktop,organic,2019-12-26,0,0,1,0,product,Chrome,0
264,1566,5,516.1281556332005,desktop,email,2024-03-01,0,0,1,1,checkout,Chrome,0
265,4291,6,165.2222531841396,tablet,social,2023-03-21,1,0,2,0,homepage,Chrome,1
266,1754,7,155.2439156217825,tablet,email,2023-05-05,0,1,1,1,cart,Chrome,1
267,2067,3,5.245381651291812,desktop,direct,2022-08-23,0,0,1,1,checkout,Chrome,1
268,6821,8,312.6648321117692,desktop,social,2020-04-19,1,0,2,1,product,Chrome,0
269,7697,6,62.77853155287772,tablet,paid,2020-04-23,1,0,0,0,homepage,Chrome,1
270,9849,6,231.84829379863933,tablet,paid,2023-10-13,0,0,0,0,homepage,Edge,1
271,6590,2,152.74044015563425,desktop,social,2023-08-31,1,0,0,0,cart,Firefox,1
272,2376,3,337.9325992427254,desktop,paid,2021-10-05,0,0,0,0,checkout,Safari,1
273,4036,2,327.1444610394386,tablet,email,2022-09-11,0,0,1,1,homepage,Safari,0
274,1842,4,97.1581291481996,tablet,direct,2021-06-04,0,0,0,0,product,Chrome,1
275,7729,3,337.122140335122,tablet,organic,2019-10-20,0,0,3,0,checkout,Chrome,1
276,2685,5,347.45085151191654,tablet,social,2019-12-31,0,0,1,1,homepage,Edge,1
277,1841,5,445.9284344714728,mobile,organic,2022-07-01,0,0,0,0,product,Safari,1
278,9687,6,519.0891023887939,tablet,email,2024-06-12,1,0,0,0,cart,Chrome,1
279,9402,4,525.9845241997082,mobile,organic,2019-11-30,0,0,2,1,checkout,Chrome,1
280,7829,5,217.9598155267898,tablet,social,2024-10-10,0,0,2,0,cart,Safari,0
281,4131,8,84.77891203728538,tablet,direct,2020-10-16,0,0,2,0,cart,Chrome,0
282,928,5,335.76195367006943,desktop,paid,2019-02-06,1,0,2,0,product,Firefox,0
283,8714,5,307.1975112487284,desktop,direct,2019-12-19,0,0,1,0,product,Firefox,1
284,7922,10,175.27176050537437,tablet,direct,2024-08-22,0,1,0,0,checkout,Safari,1
285,6370,1,353.30408950702343,tablet,paid,2020-10-02,0,1,1,1,product,Chrome,1
286,1459,9,276.22446956553125,mobile,paid,2020-07-06,0,0,1,1,cart,Safari,0
287,7503,6,226.16072337023357,mobile,paid,2023-05-27,0,0,1,1,cart,Firefox,1
288,7462,6,652.9257697398542,tablet,email,2021-07-28,0,1,1,1,product,Edge,1
289,2853,4,289.9122447276843,desktop,social,2021-08-22,0,0,1,1,cart,Chrome,1
290,9424,5,119.68656430504647,,email,2023-06-03,0,0,0,0,checkout,Chrome,1
291,4479,3,381.385198026454,tablet,social,2022-11-28,0,0,1,0,checkout,Firefox,1
292,5168,10,329.18450559106566,tablet,direct,2020-03-07,1,0,3,1,product,Edge,0
293,6782,3,405.6731756706454,tablet,direct,2024-02-06,0,0,1,0,checkout,Chrome,0
294,9002,6,196.76604448726272,tablet,paid,2024-12-02,0,0,3,0,homepage,Chrome,1
295,9629,7,280.0732658620052,tablet,direct,2019-09-09,0,0,3,1,checkout,Safari,0
296,4781,7,442.78250445937226,tablet,email,2023-01-30,0,0,0,0,cart,Firefox,1
297,203,4,114.40266231520756,tablet,organic,2022-02-19,0,0,1,0,product,Safari,1
298,731,3,163.45809567312452,tablet,organic,2020-10-07,1,0,0,0,homepage,Safari,1
299,2576,3,76.45061808644047,desktop,direct,2020-04-10,0,0,2,0,cart,Chrome,1
